[2025-03-13 11:11:17] User: dj, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-03-13 11:16:39] User: dj, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-03-13 11:25:47] User: dj, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-03-13 11:26:11] User: dj, Action: UPLOAD, Details: Uploaded file: certificate.pem using AES-256-CBC
[2025-03-13 11:28:08] User: dj, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-03-13 11:28:22] User: dj, Action: DELETE, Details: Deleted file: certificate.pem.enc.hash
[2025-03-13 11:28:35] User: dj, Action: SHARE, Details: Shared file: public_key_dj.pem
[2025-03-13 11:32:26] User: dj, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-03-13 11:37:18] User: dj, Action: UPLOAD, Details: Uploaded file: prvi.txt.rtf using AES-256-CBC
[2025-03-13 11:39:16] User: dj, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-03-13 14:13:14] User: dj, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-03-13 14:18:51] User: dj, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-03-17 19:25:33] User: dj, Action: LOGIN_ATTEMPT, Details: FAILED: Invalid certificate path
[2025-03-17 19:26:02] User: dj, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-03-17 19:27:10] User: masa, Action: LOGIN_ATTEMPT, Details: FAILED: Invalid password
[2025-03-17 19:27:17] User: masa, Action: LOGIN_ATTEMPT, Details: FAILED: Invalid password
[2025-03-17 19:28:18] User: lola2, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-03-17 19:30:09] User: lola2, Action: UPLOAD, Details: Uploaded file: Zadaci.pdf using ChaCha20
[2025-03-17 19:30:53] User: lola2, Action: SHARE, Details: Shared file: public_key_lola2.pem
[2025-03-31 20:04:33] User: dj, Action: LOGIN_ATTEMPT, Details: FAILED: Invalid password
[2025-03-31 20:04:37] User: dj, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-03-31 20:06:03] User: dj, Action: UPLOAD, Details: Uploaded file: 07_Digitalni_potpis.pdf using AES-256-CBC
[2025-03-31 20:41:56] User: dj, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-03-31 20:48:53] User: dj, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-03-31 20:51:46] User: dj, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-03-31 20:52:40] User: dj, Action: UPLOAD, Details: Uploaded file: transakcije.txt using AES-256-CBC
[2025-03-31 20:53:22] User: dj, Action: DELETE, Details: Deleted file: prvi.txt.rtf.enc
[2025-03-31 20:53:27] User: dj, Action: DELETE, Details: Deleted file: 07_Digitalni_potpis.pdf.enc
[2025-03-31 21:10:56] User: lola5, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-03-31 21:12:58] User: lola5, Action: LOGIN_ATTEMPT, Details: FAILED: Invalid certificate path
[2025-03-31 21:13:13] User: lola5, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-03-31 21:19:45] User: lola5, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-03-31 21:26:48] User: lola5, Action: LOGIN_ATTEMPT, Details: SUCCESS
